order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
oid_1,cid_2210,Benjamin White,pid_14,Calibration Fluid 35ppt,Testing & Calibration,Card,3,6.5,2023-10-27 05:02:41,France,Paris,EBay,ptx_4401788045,Y,
oid_1,cid_2210,Benjamin White,pid_17,Reef Salt 25 kg,Consumables,Card,2,80.0,2023-10-27 05:02:41,France,Paris,EBay,ptx_4401788045,Y,
oid_2,cid_220,Charlotte Parker,pid_9,Protein Skimmer 65,Filtration,Card,3,129.0,2024-01-28 16:37:14,United States,Columbus,Website,ptx_7478432683,Y,
oid_2,cid_220,Charlotte Parker,pid_24,Cable Management Clips (10-pack),Accessories,Card,2,6.0,2024-01-28 16:37:14,United States,Columbus,Website,ptx_7478432683,Y,
oid_2,cid_220,Charlotte Parker,pid_3,Kessil A360X Tuna Blue,Lighting,Card,4,450.0,2024-01-28 16:37:14,United States,Columbus,Website,ptx_7478432683,Y,
oid_2,cid_220,Charlotte Parker,pid_2,Radion XR15 G6 Blue,Lighting,Card,1,470.0,2024-01-28 16:37:14,United States,Columbus,Website,ptx_7478432683,Y,
oid_3,cid_2607,Casey White,pid_5,Jebao Wavemaker SLW-20,Pumps,Apple Pay,1,75.0,2024-02-16 13:44:34,Germany,Cologne,Website,ptx_9119941057,Y,
oid_3,cid_2607,Casey White,pid_13,Refractometer (Salinity),Testing & Calibration,Apple Pay,2,25.0,2024-02-16 13:44:34,Germany,Cologne,Website,ptx_9119941057,Y,
oid_3,cid_2607,Casey White,pid_15,Nitrate Test Kit,Testing & Calibration,Apple Pay,3,20.0,2024-02-16 13:44:34,Germany,Cologne,,ptx_9119941057,Y,
oid_3,cid_2607,Casey White,pid_23,Coral Bone Cutter,Accessories,Apple Pay,3,19.0,2024-02-16 13:44:34,Germany,Cologne,Website,ptx_9119941057,Y,
oid_3,cid_2607,Casey White,pid_3,Kessil A360X Tuna Blue,Lighting,Apple Pay,1,450.0,2024-02-16 13:44:34,Germany,Cologne,Website,ptx_9119941057,Y,
oid_4,cid_296,Alex Martinez,pid_7,DC Return Pump 1300 GPH,Pumps,Card,1,129.0,2024-10-17 15:05:02,Canada,Winnipeg,EBay,ptx_9539263329,F,Gateway timeout
